NOM_INTER|SIGNALI|LONGITUDE|LATITUDE
Lacroix, Rue    /      --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue est-ouest|-71.345199|46.805075
Carougeois, Rue des    /      --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.368932|46.744719
Îlots, Rue des    /      --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.338495|46.752075
Turmel, Rue    /   Saint-Jacques, Rue    --   L'Ancienne-Lorette|Arrêts obligatoires sur toutes les approches|-71.366634|46.801201
Robert-Bourassa, Autoroute ( Côté Est )   /   Aut. 740 Nord, Bretelle    --   Québec|Non déterminé|-71.289959|46.786863
Soumande, Rue ( Côté Est )   /   Beaucage, Rue    /   Monseigneur-Plessis, Rue    --   Québec|Signaux lum. + Phase de piéton + Décompte num. + Signal sonore + Phase de virage à ga.|-71.253354|46.819605
Lac-Saint-Charles, Avenue du    /   Couventines, Rue des    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.374606|46.907716
Michelet, Rue ( Côté Sud )   /   Grandpré, Rue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.340855|46.803960
Iacurto, Rue    /   Deschambault, Rue de    --   Québec||-71.292765|46.762637
Laurentienne, Autoroute ( Côté Est )   /   Embarcations, Rue des    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.229722|46.817495
Auvergne, Boulevard de l' ( Côté Sud )   /   Armand-Viau Nord, Rue    --   Québec|Signaux lumineux + phase pour piétons avec décompte numérique + phase de virage à Gauche|-71.353573|46.825336
Ross, Côte    /   Valcourt, Rue de    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.277466|46.763084
Hermine, Rue    /   De Mazenod, Rue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.232964|46.810082
Ross, Côte    /   Guillaume-Le Breton, Rue    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.275207|46.761084
Vigneault, Rue    /      --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.273574|46.763291
Ranvoyzé, Rue    /   Louisbourg, Rue de    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.275061|46.763520
Ranvoyzé, Rue    /   Montarville, Rue de    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.276253|46.764494
Teillet, Rue    /   Roméo-Vachon, Rue    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.271971|46.768258
Hochelaga, Boulevard ( Côté Sud )   /   Germain-des-Prés, Avenue de    --   Québec|Signaux lumineux + phase pour piétons + phase de virage à gauche|-71.289087|46.770158
Visitation, Rue de la    /   Anciens-Combattants, Rue des    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.279610|46.766667
Fès, Rue de    /   Moscou, Rue de    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.345626|46.852576
Hêtrière, Rue de l'    /   Ratté, Rue    --   Saint-Augustin-de-Desmaures|Arrêts obligatoires sur la rue sud-nord|-71.382823|46.750398
Richard-Turner, Rue    /   Domaine-Beauvoir, Rue du    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.283854|46.765080
De Normanville, Rue    /   Laurendeau, Rue    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue sud-nord|-71.348309|46.797848
Rouville, Rue de    /   Grondines, Rue des    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.288386|46.763330
Rouville, Rue de    /   Gentilly, Rue de    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.289041|46.763852
Villeray, Rue    /   Arthur-Labrie, Rue    --   Québec|Aucun contrôle|-71.292219|46.757895
Saint-Jean-Baptiste, Rue    /   Verdure, Rue de la    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue sud-nord|-71.347189|46.809492
Loire, Rue de la    /   Bièvre, Rue de la    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.283530|46.774925
Saint-Louis, Chemin    /   Ranvoyzé, Rue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.276849|46.765000
Saint-Louis, Chemin    /   Visitation, Rue de la    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.277288|46.764786
